CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0107,0.9892043418243774
C0001,C0152,0.9998539010928846
C0001,C0137,0.9999284514771006
C0002,C0177,0.9715077093581103
C0002,C0043,0.9907091636183376
C0002,C0142,0.9929875591787781
C0003,C0192,0.9683167772360253
C0003,C0052,0.9950550803756303
C0003,C0133,0.997474573690933
C0004,C0108,0.9840907972607208
C0004,C0102,0.9866688588523204
C0004,C0113,0.9904771529207443
C0005,C0178,0.9997567447162259
C0005,C0123,0.9998524832432237
C0005,C0159,0.9999117144387663
C0006,C0187,0.9093784969227297
C0006,C0168,0.9535557552588697
C0006,C0158,0.9719463895518579
C0007,C0140,0.997154042387192
C0007,C0193,0.9999679390437886
C0007,C0092,0.999998129945819
C0008,C0098,0.9386181413323325
C0008,C0139,0.9714249278322827
C0008,C0109,0.9805064070486312
C0009,C0121,0.9754382285441369
C0009,C0198,0.9824623739973276
C0009,C0062,0.9858930524110197
C0010,C0166,0.973688292535385
C0010,C0121,0.984561836303461
C0010,C0199,0.9968850394669458
C0011,C0152,0.982522698301613
C0011,C0048,0.997944459695661
C0011,C0107,0.9983612928671765
C0012,C0013,0.98420224487402
C0012,C0108,0.9939048885018172
C0012,C0155,0.9992685516055361
C0013,C0099,0.9901395640779158
C0013,C0155,0.9902528100598151
C0013,C0087,0.9944197056537674
C0014,C0063,0.9898872706207419
C0014,C0198,0.9950556382650446
C0014,C0060,0.9993616986269039
C0015,C0020,0.9932198353209847
C0015,C0058,0.9940905102594474
C0015,C0144,0.9995137572176962
C0016,C0117,0.9146553714327433
C0016,C0018,0.9193853349306157
C0016,C0183,0.9999200326615625
C0017,C0051,0.9283604113027022
C0017,C0124,0.978691593546948
C0017,C0075,0.9795303014462667
C0018,C0079,0.9006477631644462
C0018,C0183,0.9143372990814331
C0018,C0016,0.9193853349306157
C0019,C0103,0.930629301840035
C0019,C0111,0.9340377799000225
C0019,C0172,0.9999840467091892
C0020,C0015,0.9932198353209847
C0020,C0144,0.9941851344715464
C0020,C0058,0.9960033826195548
